qid,P31,P21,P2925,P460,P1889
Q160730,Q22988604,Q6581072,,,Q3558668
Q371545,Q22988604,Q6581072,,,
Q3854114,Q22988604,Q6581072,,,
Q321541,Q22988604,Q6581097,,,
Q3854231,Q22988604,Q6581072,,,
Q103992,Q22988604,Q6581072,,,
Q506781,Q22988604,Q6581097,,Q122066765,Q297965
Q744871,Q22988604,Q6581097,,,
Q171839,Q22988604,Q6581097,,,Q2153151
Q214003,Q22988604,Q6581097,,,Q13442311
Q308398,Q22988604,Q6581097,,,Q436188
Q23168,Q22988604,Q6581097,,,Q527174
Q129866,Q20902363,Q6581097,,Q8207417,Q2243366
Q771366,Q22988604,Q6581072,,,
Q1149595,Q22988604,Q6581097,,,
Q179256,Q22988604,Q6581097,,,Q828609
Q3870520,Q22988604,Q6581097,,,
Q322639,Q22988604,Q6581097,,Q12757289,
Q466866,Q83203,,,,
Q213621,Q22988604,Q6581072,,,Q1072573
Q7134950,Q22988604,Q6581097,,,
Q1929263,Q22988604,Q6581097,,,Q3455419
Q1419140,Q22988604,Q6581097,,,Q14522045
Q975447,Q22988604,Q6581097,,,Q18592060
Q290144,Q22988604,Q6581097,,,
Q486698,Q22988604,Q6581072,,,
Q192407,Q22988604,Q6581097,,Q4691174,
Q174353,Q22988604,Q6581097,,,Q15615531
Q16328250,Q22988604,Q6581097,,,
Q252387,Q22988604,Q6581097,,,
Q2048018,Q22988604,Q6581097,,,
Q131346,Q22988604,Q6581072,,,Q108349
Q167646,Q22988604,Q6581097,,,Q104197
Q186271,Q22988604,Q6581097,,,
Q178641,Q22988604,Q6581097,,,
Q182439,Q22988604,Q6581097,,,Q2035691
Q192485,Q22988604,Q6581097,,,Q2068297
Q165769,Q22988604,Q6581072,,,Q11815521
Q391091,Q22988604,Q6581097,,,
Q379828,Q22988604,Q6581072,,,
Q63246636,Q22988604,Q6581097,,,
Q1349003,Q22988604,Q6581097,,,
Q192343,Q22988604,Q6581097,,,Q224984
Q494886,Q22988604,Q6581097,,Q24731870,
Q13409873,Q22988604,Q6581097,,,
Q3411429,Q22988604,Q6581097,,,
Q622809,Q22988604,Q6581072,,,
Q346634,Q22988604,Q6581097,,Q29626641,
Q193567,Q128430,Q6581097,,,Q1173735
Q104425,Q22988604,Q6581072,Q484692,,
Q334817,Q22988604,Q6581097,,,Q2101336
Q750236,Q22988604,Q6581072,,,
Q12046224,Q22988604,Q6581097,,,
Q170473,Q22988604,Q6581097,,,
Q206878,Q22988604,Q6581097,,Q9642688,Q38433591
Q1231743,Q22988604,Q6581072,,,
Q1139470,Q22988604,Q6581072,,,
Q15138255,Q22988604,Q6581097,,,
Q871361,Q22988604,Q6581097,,,
Q2262042,Q22988604,Q6581097,,,
Q776139,Q22988604,Q6581072,,Q1770908,Q403824
Q762835,Q273320,Q6581072,,Q1183352,
Q1121944,Q273320,Q6581072,,Q1544642,
Q2217186,Q273320,Q6581072,,,
Q464091,Q22988604,Q6581097,,,Q588632
Q663792,Q22988604,Q6581097,,,
Q368423,Q22988604,Q6581072,,Q3629895,
Q1246563,Q22988604,Q6581072,,,
Q1367860,Q22988604,Q6581097,,,
Q182101,Q22988604,Q6581097,,,Q515531
Q331327,Q22988604,Q6581097,,,
Q916442,Q22988604,Q6581097,,,
Q192482,Q22988604,Q6581097,,,Q125567497
Q1138506,Q22988604,Q6581097,,,
Q104042,Q22988604,Q6581072,,,Q443833
Q1320718,Q22988604,Q6581097,,,Q410475
Q184437,Q22988604,Q6581072,,,Q26761044
Q1400413,Q22988604,Q6581097,,,
Q3991817,Q22988604,Q6581072,,,
Q737306,Q22988604,Q6581097,,,
Q656887,Q22988604,Q6581097,,,Q1933958
Q1475386,Q22988604,Q6581097,,,
Q269243,Q22988604,Q6581097,,,
Q47231,Q22988604,Q6581097,,,
Q104002,Q22988604,Q6581072,,,Q294784
Q4024302,Q22988604,Q6581097,,,
Q182790,Q22988604,Q43445,,,
Q12737222,Q273320,Q6581072,,Q1544642,Q682558
Q3612821,Q124940323,Q6581097,,,
Q2864238,Q124940323,Q6581097,,,
Q17521117,Q124940323,Q6581097,,,
Q3757599,Q124940323,Q6581097,,,
Q12958119,Q124940323,Q6581072,,Q103107,
Q1924715,Q124940323,Q6581097,,,
Q3929892,Q124940323,Q6581097,,,
Q1242632,Q124940323,Q6581097,,,Q28540088
Q4016094,Q124940323,Q6581097,,,
