item,label,subject,matched_term
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900478598,"Venere impedisce ad Enea di uccidere Elena (stampa, elemento d'insieme) di Pinelli Bartolomeo (sec. XIX)",Venere impedisce ad Enea di uccidere Elena,"['Venere', 'Enea']"
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100142383,"Venere appare a Enea come cacciatrice (sovrapporta, opera isolata) by Mayerle Francesco Antonio (metà sec. XVIII)",Venere appare a Enea come cacciatrice,"['Venere', 'Enea']"
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0303267714-1_14,"Venere unge il corpo di Enea (dipinto murale) by Viani, Antonio Maria (cerchia) (primo quarto sec. XVII)",Venere unge il corpo di Enea,"['Venere', 'Enea']"
https://w3id.org/arco/resource/HistoricOrArtisticProperty/1600211216,Venere consegna le armi ad Enea (stampa) - ambito italiano (sec. XVII),Venere consegna le armi ad Enea,"['Venere', 'Enea']"
https://w3id.org/arco/resource/HistoricOrArtisticProperty/1100273545,Venere appare a Enea e gli impedisce di uccidere Elena (tondino) - bottega marchigiana (metà sec. XVI),Venere appare a Enea e gli impedisce di uccidere Elena,"['Venere', 'Enea']"
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0700034831-4,"Venere consegna le armi a Enea (dipinto, elemento d'insieme) by De Ferrari Lorenzo (secondo quarto XVIII)",Venere consegna le armi a Enea,"['Venere', 'Enea']"
https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500339308,Venere da le armi ad Enea (stampa) by Testa Pietro detto Lucchesino (sec. XVII),Venere da le armi ad Enea,"['Venere', 'Enea']"
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500386769,"Venere appare a Enea come cacciatrice (disegno, elemento d'insieme) di Pittoni Giovanni Battista (secc. XVII/ XVIII)",Venere appare a Enea come cacciatrice,"['Venere', 'Enea']"
https://w3id.org/arco/resource/HistoricOrArtisticProperty/1000017295,"Angelo della Pace, Venere appare a Enea e gli impedisce di uccidere Elena (dipinto, opera isolata) di Wicar, Jean detto Baptiste (attribuito) (prima metà sec. XIX)",Venere appare a Enea e gli impedisce di uccidere Elena,"['Venere', 'Enea']"
https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500216137,Venere consegna le armi ad Enea (dipinto) - ambito napoletano (primo quarto sec. XVIII),Venere consegna le armi ad Enea,"['Venere', 'Enea']"
https://w3id.org/arco/resource/HistoricOrArtisticProperty/1100209340-13,Venere protegge il figlio Enea durante la battaglia (decorazione plastica) di Brandani Federico (sec. XVI),Venere protegge il figlio Enea durante la battaglia,"['Venere', 'Enea']"
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500294233,Venere fornisce di armi Enea (disegno) di De Pieri Giovanni Antonio detto Zoppo Vicentino (sec. XVIII),Venere fornisce di armi Enea,"['Venere', 'Enea']"
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0800086583,"Venere con Enea e il fido Acate (stampa) di Fontana Pietro, Del Frate Domenico (sec. XIX)",Venere con Enea e il fido Acate,"['Venere', 'Enea', 'Acate']"
