qid,P31,P21,P2925,P22,P25,P460,P1889,P4185,P157,P1074
Q4654,Q11688446,Q6581072,,,,Q213440,Q219201,,,
Q4649,Q11688446,Q6581097,,Q134388,Q859392,Q34201,Q16280772,Q2794866,,
Q125046,Q11688446,Q6581072,Q8445,Q134388,,Q38012,,Q201251,,
Q1102307,Q207174,Q6581072,Q5167661,,,Q159168,Q75133781,,,
Q1367680,Q11688446,Q6581072,,Q4649,Q125046,Q131125,Q1422,,,
Q112,Q11688446,Q6581097,Q198,Q4649,Q125046,Q40901,Q426315,,,
Q1479084,Q11688446,Q6581072,,,,Q178831,,Q283202,,
Q1150,Q11688446,Q6581097,Q2727213,Q4649,,Q41484,Q11777485,Q2102,,
Q126916,Q205985,Q6581072,Q1294787,Q4649,Q190565,Q37122,,,,
Q3954,Q1916821,Q6581097,,Q134388,,Q41127,Q1261928,,,
Q859392,Q205985,Q6581072,Q2488752,Q3360794,Q270867,Q108419,Q221197,Q140,,
Q152262,Q11688446,Q6581097,,Q134388,,Q41410,Q2099776,,,
Q171239,Q38618822,Q6581072,,,,,,,,
Q14515330,Q11688446,Q6581072,,Q4649,Q32102,Q45967,Q33056084,,,
Q953033,Q11688446,Q6581072,Q18287233,,,,,,,
Q1753275,Q119840097,Q6581097,,,,Q5283763,,,,
Q134388,Q7805266,Q6581097,,Q3360794,Q270867,Q272918,Q3950829,,,
Q2062262,Q273320,Q6581072,,,,,,,,
Q548445,Q11688446,Q6581097,,,,,Q187489,,,
Q580723,Q11688446,Q6581097,,,,,,,,
Q47652,Q11688446,Q6581072,Q316,,,Q35500,,,,
Q3545810,Q207174,Q6581072,,Q134388,,Q1317994,Q12644570,,,
Q374311,Q11688446,Q6581097,,,,,,,,Q24384
Q178710,Q11688446,Q6581072,Q182995,Q134388,Q859392,Q41419,Q3030,Q182995,,
Q308902,Q11688446,Q6581072,Q50000,,,Q165023,Q537094,,,
Q4640,Q11688446,Q6581097,,Q4649,Q125046,Q44384,Q1088708,,,
Q555521,Q22988604,Q6581097,,,,,Q123314,,,
Q41746,Q22988604,Q6581097,,Q178641,Q184437,Q114839495,Q229835,,Q167646,
Q419156,Q22988604,Q6581097,Q1382342,Q132582,Q28224106,,,,,
Q128176,Q22988604,Q6581097,,Q192469,Q508543,,Q231724,,,
Q584492,Q22988604,Q6581072,,Q500739,Q368994,,Q243653,,,
Q172725,Q22988604,Q6581097,,Q331327,Q1295435,,Q242319,,,
