entity,name,aka,description
http://www.wikidata.org/entity/Q643456,Aretusa,,ninfa nereide della mitologia greca
http://www.wikidata.org/entity/Q19738771,Aretusa,,una delle Esperidi nella mitologia greca
http://www.wikidata.org/entity/Q265823,Aretè,Aretē,concetto della filosofia greca
http://www.wikidata.org/entity/Q644354,Argia,Argeia,
http://www.wikidata.org/entity/Q3622436,Argiope,,"ninfa della mitologia greca, madre di Tamiri"
http://www.wikidata.org/entity/Q3560453,Argira,,
http://www.wikidata.org/entity/Q126719617,Argirone,,
http://www.wikidata.org/entity/Q392435,Aristeo,,"personaggio della mitologia greca, figlio di Apollo"
http://www.wikidata.org/entity/Q2861418,Aristeo,,"gigante della mitologia greca, figlio di Urano e Gea"
http://www.wikidata.org/entity/Q978079,Armonia,,"personaggio della mitologia greca, figlia di Ares e Afrodite, moglie di Cadmo"
http://www.wikidata.org/entity/Q9286479,Armonia,,"ninfa della mitologia greca, madre delle Amazzoni"
http://www.wikidata.org/entity/Q3200444,Arpina,Arpinna,
http://www.wikidata.org/entity/Q787492,Arpocrate,"Hor pa khred, Harpocrate",dio bambino della mitologia greca ed egizia
http://www.wikidata.org/entity/Q39503,Artemide,,"dea greca della caccia, della foresta, della luna crescente e della fertilità"
http://www.wikidata.org/entity/Q706742,Artemide Paralia,,
http://www.wikidata.org/entity/Q3624180,Artemide Tauridea,,
http://www.wikidata.org/entity/Q10858700,Artemide di Efeso,,
http://www.wikidata.org/entity/Q12649338,Ascanio,,divinità fluviale greca
http://www.wikidata.org/entity/Q83223,Asclepio,"Asklepio, Esculapio",dio greco della medicina
http://www.wikidata.org/entity/Q605744,Asia,,oceanina della mitologia greca
http://www.wikidata.org/entity/Q30058278,Asopide,,
http://www.wikidata.org/entity/Q622781,Asopo,,divinità fluviale della Beozia nella mitologia greca
http://www.wikidata.org/entity/Q737614,Aspide,,divinità greca
http://www.wikidata.org/entity/Q4830640,Assio,,"divinità fluviale della mitologia greca, padre di Pelagone"
http://www.wikidata.org/entity/Q931321,Assioche,Axioche,"ninfa della mitologia greca, madre di Crisippo"
http://www.wikidata.org/entity/Q130274,Astarte,Ashtoreth,"dea della mitologia fenicia e cananea, divinità della guerra, fertilità e amore"
http://www.wikidata.org/entity/Q18642285,Asteria,,titanide della mitologia greca
http://www.wikidata.org/entity/Q10420712,Asterio,,"gigante della mitologia greca, figlio di Anax"
http://www.wikidata.org/entity/Q4810678,Asterione,,divinità fluviale greca
http://www.wikidata.org/entity/Q748574,Asterodia,,"ninfa della mitologia greca, moglie di Eete e madre di Apsirto"
http://www.wikidata.org/entity/Q28563696,Asterope,,"Oceanina della mitologia greca, madre di Akragas"
http://www.wikidata.org/entity/Q752353,Astioche,Astiope,"personaggio della mitologia greca, figlia di Simoenta"
http://www.wikidata.org/entity/Q17521381,Astrape,,
http://www.wikidata.org/entity/Q742680,Astrea,,dea greca dell'innocenza e della purezza
http://www.wikidata.org/entity/Q2868617,Astreo,,gigante della mitologia greca
http://www.wikidata.org/entity/Q250588,Astreo,,titano della mitologia greca
http://www.wikidata.org/entity/Q8193547,Astri,Asteria,"personaggio della mitologia greca, una delle Eliadi"
http://www.wikidata.org/entity/Q5710243,Atabirio,,divinità venerata nell'antichità a Rodi
http://www.wikidata.org/entity/Q210871,Ate,,figura minore della mitologia greca
http://www.wikidata.org/entity/Q37122,Atena,"Atritonia, Atena Chalkioikos, Pallade Atena, Athena","dea greca della sapienza, dell'ingegno, dell'artigianato e della guerra"
http://www.wikidata.org/entity/Q3496815,Atena Alea,,
http://www.wikidata.org/entity/Q755211,Atena Chalkioikos,,
http://www.wikidata.org/entity/Q3627891,Atena Itonia,Itonia,epiteto di Atena
http://www.wikidata.org/entity/Q107090895,Atena Poliade,Athena Polias,epiclesi della dea greca Atena
http://www.wikidata.org/entity/Q3514860,Ati,"Atys, Athis",semidio della mitologia classica
http://www.wikidata.org/entity/Q130818,Atlante,,titano della mitologia greca
http://www.wikidata.org/entity/Q3626277,Atlantea,,"amadriade nella mitologia greca, moglie di Danao"
http://www.wikidata.org/entity/Q3314441,Ato,,
http://www.wikidata.org/entity/Q753294,Atropo,,una delle tre Parche nella mitologia classica
http://www.wikidata.org/entity/Q774101,Aura,Aula,ninfa della mitologia greca
http://www.wikidata.org/entity/Q4072434,Aura,,
http://www.wikidata.org/entity/Q789715,Auso,Auxo,una delle Ore nella mitologia greca
http://www.wikidata.org/entity/Q21616290,Aussesia,,divinità greca della fertilità
http://www.wikidata.org/entity/Q12649956,Bafira,,divinità fluviale greca
http://www.wikidata.org/entity/Q21286610,Balano,,amadriade della mitologia greca
