qid,P31,P21,P2925,P460,P1889
Q655566,Q22988604 (mythological Greek character),Q6581097 (male),,Q16523986 (Iulus),Q25939254 (Askaniusz)
Q334787,Q22988604 (mythological Greek character),Q6581097 (male),,,
Q190323,Q22988604 (mythological Greek character),Q6581072 (female),,Q13375989 (Atalante),Q23556 (Atlanta)
Q208531,Q22988604 (mythological Greek character),Q6581097 (male),,,
Q791446,Q22988604 (mythological Greek character),Q6581097 (male),,,
Q23034980,Q22988604 (mythological Greek character),Q6581072 (female),,,
Q189872,Q22988604 (mythological Greek character),Q6581097 (male),,,Q242309 (51 Pegasi b)
Q855426,Q22988604 (mythological Greek character),Q6581072 (female),,,
Q29789169,Q22988604 (mythological Greek character),Q6581097 (male),,,
Q244318,Q22988604 (mythological Greek character),Q6581072 (female),,,
Q754686,Q3707571 (giant),Q6581097 (male),,,
Q27613,Q22988604 (mythological Greek character),Q6581097 (male),,,
Q893473,Q22988604 (mythological Greek character),Q6581097 (male),,,Q240840 (Calais)
Q725527,Q22988604 (mythological Greek character),Q6581097 (male),,,
Q103975,Q22988604 (mythological Greek character),Q6581072 (female),,,
Q1362409,Q22988604 (mythological Greek character),Q6581072 (female),,,Q21150330 (Kanaka)
Q11294144,Q22988604 (mythological Greek character),Q6581097 (male),,,
Q500739,Q22988604 (mythological Greek character),Q6581097 (male),,,
Q643504,Q22988604 (mythological Greek character),Q6581097 (male),,Q3010239 (Cephalus),
Q578888,Q22988604 (mythological Greek character),Q6581097 (male),,,
Q1132772,Q22988604 (mythological Greek character),Q2449503 (trans man),,,
Q2606272,Q22988604 (mythological Greek character),Q6581097 (male),,,Q83203 (centaur)
Q83496,Q2280977 (Hellhound),Q44148 (male organism),,Q213932 (Garmr),Q6667 (Cerbère)
Q466882,Q2239243 (mythical creature),Q43445 (female organism),,,
Q183417,Q83203 (centaur),Q6581097 (male),,,
Q1066344,Q22988604 (mythological Greek character),Q6581097 (male),,Q25433606 (Cycnus),
Q15711584,Q22988604 (mythological Greek character),Q6581072 (female),,,
Q334456,Q2239243 (mythical creature),Q44148 (male organism),,,
Q13667632,Q22988604 (mythological Greek character),Q6581097 (male),,,
Q1056143,Q22988604 (mythological Greek character),Q6581097 (male),,,
Q64581998,Q22988604 (mythological Greek character),Q6581097 (male),,,
Q103968,Q22988604 (mythological Greek character),Q6581072 (female),Q1066186 (study of history),,Q398232 (Klio)
Q131157,Q22988604 (mythological Greek character),Q6581072 (female),,,Q6560236 (Clytemnestra)
Q3682459,Q22988604 (mythological Greek character),Q6581097 (male),,,
Q2753233,Q22988604 (mythological Greek character),Q6581097 (male),,,
Q725286,Q22988604 (mythological Greek character),Q6581072 (female),,,Q6432541 (Koronis)
Q732066,Q22988604 (mythological Greek character),Q6581097 (male),,,Q507107 (Creon)
Q375174,Q22988604 (mythological Greek character),Q6581072 (female),,,
Q1043413,Q22988604 (mythological Greek character),Q6581097 (male),,,
Q3698712,Q22988604 (mythological Greek character),Q6581097 (male),,,
Q190582,Q22988604 (mythological Greek character),Q6581072 (female),,,
Q134756,Q22988604 (mythological Greek character),Q6581097 (male),,,
Q272000,Q22988604 (mythological Greek character),Q6581072 (female),,,Q13537244
Q1183358,Q22988604 (mythological Greek character),Q6581097 (male),,,
Q4157638,Q22988604 (mythological Greek character),Q6581097 (male),,,
Q1475776,Q22988604 (mythological Greek character),Q6581097 (male),,,Q292588 (Démophon)
Q207715,Q22988604 (mythological Greek character),Q6581097 (male),,,Q15874488 (Deucalion)
Q905162,Q22988604 (mythological Greek character),Q6581072 (female),,,
Q208256,Q22988604 (mythological Greek character),Q6581097 (male),,,
Q850192,Q22988604 (mythological Greek character),Q6581072 (female),,,Q5280177 (Dirce)
Q3715347,Q22988604 (mythological Greek character),Q6581097 (male),,,
Q193433,Q22988604 (mythological Greek character),Q6581072 (female),,,Q16280070 (Hekabe)
Q130890,Q22988604 (mythological Greek character),Q6581097 (male),,,
Q241971,Q22988604 (mythological Greek character),Q6581097 (male),,,
Q191725,Q22988604 (mythological Greek character),Q6581097 (male),,,
Q164061,Q22988604 (mythological Greek character),Q6581072 (female),,,Q428212 (Helen of Troy)
